DI Wash,CaCl_2 Concentration,Sample,,Flouride In,,,Remaining Flouride,,,Sorbed,Sorbent,C*
,g/L,,,Volume (mL),C_in (mg/l),M_in (mg),C_out mg/L,Voltage mV,M_out (mg),M_on (mg),M_s (g),M_on/M_s (mg/g)
,,Control 1,,50,4.74,0.237,4.74,58.1,0.237,0,0,0
,,Control 2,,50,4.46,0.223,4.46,59.6,0.223,0,0,0
,,,,,,,,,,,,
1 Wash,100,1.1.1,,50,4.74,0.237,4.7,58.3,0.235,0.002,0.1031,0.019398642
,100,1.1.2,,50,4.74,0.237,4.43,59.8,0.2215,0.0155,0.2563,0.060476005
,100,1.1.3,,50,4.74,0.237,4.14,61.5,0.207,0.03,0.5564,0.053918045
,100,1.1.4,,50,4.74,0.237,3.82,63.5,0.191,0.046,0.7547,0.060951371
,,,,,,,,,,,,
,300,1.3.1,,50,4.74,0.237,4.74,58.1,0.237,0,0.101,0
,300,1.3.2,,50,4.74,0.237,4.52,59.3,0.226,0.011,0.22517,0.048851979
,300,1.3.3,,50,4.74,0.237,4.15,61.4,0.2075,0.0295,0.5578,0.052886339
,300,1.3.4,,50,4.74,0.237,3.91,62.9,0.1955,0.0415,0.7522,0.055171497
,,,,,,,,,,,,
,500,1.5.1,,50,4.74,0.237,4.74,58.1,0.237,0,0.1052,0
,500,1.5.2,,50,4.74,0.237,4.43,59.8,0.2215,0.0155,0.2513,0.061679268
,500,1.5.3,,50,4.74,0.237,4.25,60.8,0.2125,0.0245,0.4058,0.060374569
,500,1.5.4,,50,4.74,0.237,3.91,62.9,0.1955,0.0415,0.5519,0.075194782
,500,1.5.5,,50,4.74,0.237,4.1,61.7,0.205,0.032,0.7504,0.042643923
,,,,,,,,,,,,
2 Wash,100,2.1.1,,50,4.46,0.223,4.25,60.8,0.2125,0.0105,0.1081,0.097132285
,100,2.1.2,,50,4.46,0.223,3.98,62.5,0.199,0.024,0.2529,0.09489917
,100,2.1.3,,50,4.46,0.223,3.83,63.4,0.1915,0.0315,0.3733,0.084382534
,100,2.1.4,,50,4.46,0.223,3.22,67.8,0.161,,0.7506,0
,,,,,,,,,,,,
,300,2.3.1,,50,4.46,0.223,4.37,60.1,0.2185,0.0045,0.105,0.042857143
,300,2.3.2,,50,4.46,0.223,4.1,61.7,0.205,0.018,0.2506,0.071827614
,300,2.3.3,,50,4.46,0.223,3.88,63.1,0.194,0.029,0.4095,0.070818071
,300,2.3.4,,50,4.46,0.223,3.66,64.6,0.183,0.04,0.5533,0.072293512
,300,2.3.5,,50,4.46,0.223,3.42,66.3,0.171,0.052,0.7518,0.069167332
,,,,,,,,,,,,
,500,2.5.1,,50,4.46,0.223,4.32,60.4,0.216,0.007,0.1031,0.067895247
,500,2.5.2,,50,4.46,0.223,4.06,62.4,0.203,0.02,0.257,0.077821012
,500,2.5.3,,50,4.46,0.223,3.77,63.8,0.1885,0.0345,0.4096,0.084228516
,500,2.5.4,,50,4.46,0.223,3.51,65.6,0.1755,0.0475,0.5564,0.085370237
,500,2.5.5,,50,4.46,0.223,3.12,68.6,0.156,0.067,0.7577,0.088425498
