Augmentation,C*,C
Mg,0.682666667,3.413333333
Mg,1.329333333,6.646666667
Mg,0.215,2.15
Mg,0.449666667,4.496666667
Mg,0.112666667,1.69
Mg,0.227777778,3.416666667
Zn,0.702,3.51
Zn,1.386666667,6.933333333
Zn,0.216333333,2.163333333
Zn,0.437,4.37
Zn,0.110222222,1.653333333
Zn,0.224888889,3.373333333
Al,0.1504,0.752
Al,0.294666667,1.473333333
Al,0.006756667,0.067566667
Al,0.0116,0.116
Al,0.00302,0.0453
Al,0.004831111,0.072466667
Ca,0.734666667,3.673333333
Ca,1.345333333,6.726666667
Ca,0.287333333,2.873333333
Ca,0.497666667,4.976666667
Ca,0.176666667,2.65
Ca,0.304222222,4.563333333
